study_hours_per_day,attendance_percent,assignment_score,result
7,73,70,Pass
4,87,70,Pass
5,68,89,Pass
2,63,90,Fail
4,88,57,Fail
1,83,52,Fail
3,98,92,Pass
6,76,59,Pass
7,59,60,Fail
7,68,87,Pass
4,59,62,Fail
5,59,41,Fail
8,97,92,Pass
6,57,79,Fail
6,100,71,Pass
2,91,97,Pass
8,63,80,Pass
5,69,81,Pass
1,98,92,Pass
2,67,78,Fail
8,90,43,Pass
5,90,43,Fail
7,78,41,Fail
3,87,67,Fail
1,61,72,Fail
8,65,55,Pass
8,82,51,Pass
5,89,94,Pass
3,92,50,Fail
2,86,53,Fail
6,62,52,Fail
3,77,56,Fail
2,92,92,Pass
5,80,60,Fail
8,80,75,Pass
7,97,87,Pass
3,99,93,Pass
3,82,64,Fail
4,95,65,Pass
8,100,78,Pass
6,96,48,Pass
2,83,59,Fail
6,87,48,Pass
8,78,57,Pass
1,74,50,Fail
6,66,90,Pass
8,61,99,Pass
8,78,99,Pass
1,80,54,Fail
8,93,96,Pass
2,56,49,Fail
2,55,60,Fail
6,58,91,Pass
6,65,47,Fail
8,78,82,Pass
2,99,54,Fail
7,68,86,Pass
5,75,50,Fail
1,73,77,Fail
3,94,100,Pass
6,64,73,Pass
4,71,95,Pass
8,80,85,Pass
4,88,52,Fail
8,65,78,Pass
1,87,83,Fail
5,63,64,Fail
6,64,61,Fail
8,90,83,Pass
6,58,71,Fail
5,74,75,Pass
8,65,57,Pass
